iso,country,cown,region,year,income_group
AFG,Afghanistan,700,South Asia,1963,Low income
AFG,Afghanistan,700,South Asia,1964,Low income
AFG,Afghanistan,700,South Asia,1965,Low income
AFG,Afghanistan,700,South Asia,1966,Low income
AFG,Afghanistan,700,South Asia,1967,Low income
AFG,Afghanistan,700,South Asia,1968,Low income
AFG,Afghanistan,700,South Asia,1969,Low income
AFG,Afghanistan,700,South Asia,1970,Low income
AFG,Afghanistan,700,South Asia,1971,Low income
AFG,Afghanistan,700,South Asia,1972,Low income
AFG,Afghanistan,700,South Asia,1973,Low income
AFG,Afghanistan,700,South Asia,1974,Low income
AFG,Afghanistan,700,South Asia,1975,Low income
AFG,Afghanistan,700,South Asia,1976,Low income
AFG,Afghanistan,700,South Asia,1977,Low income
AFG,Afghanistan,700,South Asia,1978,Low income
AFG,Afghanistan,700,South Asia,1979,Low income
AFG,Afghanistan,700,South Asia,1980,Low income
AFG,Afghanistan,700,South Asia,1981,Low income
AFG,Afghanistan,700,South Asia,1982,Low income
AFG,Afghanistan,700,South Asia,1983,Low income
AFG,Afghanistan,700,South Asia,1984,Low income
AFG,Afghanistan,700,South Asia,1985,Low income
AFG,Afghanistan,700,South Asia,1986,Low income
AFG,Afghanistan,700,South Asia,1987,Low income
AFG,Afghanistan,700,South Asia,1988,Low income
AFG,Afghanistan,700,South Asia,1989,Low income
AFG,Afghanistan,700,South Asia,1990,Low income
AFG,Afghanistan,700,South Asia,1991,Low income
AFG,Afghanistan,700,South Asia,1992,Low income
AFG,Afghanistan,700,South Asia,1993,Low income
AFG,Afghanistan,700,South Asia,1994,Low income
AFG,Afghanistan,700,South Asia,1995,Low income
AFG,Afghanistan,700,South Asia,1996,Low income
AFG,Afghanistan,700,South Asia,1997,Low income
AFG,Afghanistan,700,South Asia,1998,Low income
AFG,Afghanistan,700,South Asia,1999,Low income
AFG,Afghanistan,700,South Asia,2000,Low income
AFG,Afghanistan,700,South Asia,2001,Low income
AFG,Afghanistan,700,South Asia,2002,Low income
AFG,Afghanistan,700,South Asia,2003,Low income
AFG,Afghanistan,700,South Asia,2004,Low income
AFG,Afghanistan,700,South Asia,2005,Low income
AFG,Afghanistan,700,South Asia,2006,Low income
AFG,Afghanistan,700,South Asia,2007,Low income
AFG,Afghanistan,700,South Asia,2008,Low income
AFG,Afghanistan,700,South Asia,2009,Low income
AFG,Afghanistan,700,South Asia,2010,Low income
AFG,Afghanistan,700,South Asia,2011,Low income
AFG,Afghanistan,700,South Asia,2012,Low income
AFG,Afghanistan,700,South Asia,2013,Low income
AFG,Afghanistan,700,South Asia,2014,Low income
AFG,Afghanistan,700,South Asia,2015,Low income
AFG,Afghanistan,700,South Asia,2016,Low income
AFG,Afghanistan,700,South Asia,2017,Low income
AGO,Angola,540,Sub-Saharan Africa,1960,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1961,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1962,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1963,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1964,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1965,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1966,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1967,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1968,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1969,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1970,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1971,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1972,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1973,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1974,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1975,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1976,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1977,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1978,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1979,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1980,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1981,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1982,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1983,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1984,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1985,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1986,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1987,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1988,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1989,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1990,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1991,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1992,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1993,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1994,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1995,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1996,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1997,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1998,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,1999,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2000,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2001,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2002,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2003,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2004,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2005,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2006,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2007,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2008,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2009,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2010,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2011,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2012,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2013,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2014,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2015,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2016,Lower middle income
AGO,Angola,540,Sub-Saharan Africa,2017,Lower middle income
ALB,Albania,339,Europe & Central Asia,1960,Upper middle income
ALB,Albania,339,Europe & Central Asia,1961,Upper middle income
ALB,Albania,339,Europe & Central Asia,1962,Upper middle income
ALB,Albania,339,Europe & Central Asia,1963,Upper middle income
ALB,Albania,339,Europe & Central Asia,1964,Upper middle income
ALB,Albania,339,Europe & Central Asia,1965,Upper middle income
ALB,Albania,339,Europe & Central Asia,1966,Upper middle income
ALB,Albania,339,Europe & Central Asia,1967,Upper middle income
ALB,Albania,339,Europe & Central Asia,1968,Upper middle income
ALB,Albania,339,Europe & Central Asia,1969,Upper middle income
ALB,Albania,339,Europe & Central Asia,1970,Upper middle income
ALB,Albania,339,Europe & Central Asia,1971,Upper middle income
ALB,Albania,339,Europe & Central Asia,1972,Upper middle income
ALB,Albania,339,Europe & Central Asia,1973,Upper middle income
ALB,Albania,339,Europe & Central Asia,1974,Upper middle income
ALB,Albania,339,Europe & Central Asia,1975,Upper middle income
ALB,Albania,339,Europe & Central Asia,1976,Upper middle income
ALB,Albania,339,Europe & Central Asia,1977,Upper middle income
ALB,Albania,339,Europe & Central Asia,1978,Upper middle income
ALB,Albania,339,Europe & Central Asia,1979,Upper middle income
ALB,Albania,339,Europe & Central Asia,1980,Upper middle income
ALB,Albania,339,Europe & Central Asia,1981,Upper middle income
ALB,Albania,339,Europe & Central Asia,1982,Upper middle income
ALB,Albania,339,Europe & Central Asia,1983,Upper middle income
ALB,Albania,339,Europe & Central Asia,1984,Upper middle income
ALB,Albania,339,Europe & Central Asia,1985,Upper middle income
ALB,Albania,339,Europe & Central Asia,1986,Upper middle income
ALB,Albania,339,Europe & Central Asia,1987,Upper middle income
ALB,Albania,339,Europe & Central Asia,1988,Upper middle income
ALB,Albania,339,Europe & Central Asia,1989,Upper middle income
ALB,Albania,339,Europe & Central Asia,1990,Upper middle income
ALB,Albania,339,Europe & Central Asia,1991,Upper middle income
ALB,Albania,339,Europe & Central Asia,1992,Upper middle income
ALB,Albania,339,Europe & Central Asia,1993,Upper middle income
ALB,Albania,339,Europe & Central Asia,1994,Upper middle income
ALB,Albania,339,Europe & Central Asia,1995,Upper middle income
ALB,Albania,339,Europe & Central Asia,1996,Upper middle income
ALB,Albania,339,Europe & Central Asia,1997,Upper middle income
ALB,Albania,339,Europe & Central Asia,1998,Upper middle income
ALB,Albania,339,Europe & Central Asia,1999,Upper middle income
ALB,Albania,339,Europe & Central Asia,2000,Upper middle income
ALB,Albania,339,Europe & Central Asia,2001,Upper middle income
ALB,Albania,339,Europe & Central Asia,2002,Upper middle income
ALB,Albania,339,Europe & Central Asia,2003,Upper middle income
ALB,Albania,339,Europe & Central Asia,2004,Upper middle income
ALB,Albania,339,Europe & Central Asia,2005,Upper middle income
ALB,Albania,339,Europe & Central Asia,2006,Upper middle income
ALB,Albania,339,Europe & Central Asia,2007,Upper middle income
ALB,Albania,339,Europe & Central Asia,2008,Upper middle income
ALB,Albania,339,Europe & Central Asia,2009,Upper middle income
ALB,Albania,339,Europe & Central Asia,2010,Upper middle income
ALB,Albania,339,Europe & Central Asia,2011,Upper middle income
ALB,Albania,339,Europe & Central Asia,2012,Upper middle income
ALB,Albania,339,Europe & Central Asia,2013,Upper middle income
ALB,Albania,339,Europe & Central Asia,2014,Upper middle income
ALB,Albania,339,Europe & Central Asia,2015,Upper middle income
ALB,Albania,339,Europe & Central Asia,2016,Upper middle income
ALB,Albania,339,Europe & Central Asia,2017,Upper middle income
AND,Andorra,232,Europe & Central Asia,1960,High income
AND,Andorra,232,Europe & Central Asia,1961,High income
AND,Andorra,232,Europe & Central Asia,1962,High income
AND,Andorra,232,Europe & Central Asia,1963,High income
AND,Andorra,232,Europe & Central Asia,1964,High income
AND,Andorra,232,Europe & Central Asia,1965,High income
AND,Andorra,232,Europe & Central Asia,1966,High income
AND,Andorra,232,Europe & Central Asia,1967,High income
AND,Andorra,232,Europe & Central Asia,1968,High income
AND,Andorra,232,Europe & Central Asia,1969,High income
AND,Andorra,232,Europe & Central Asia,1970,High income
AND,Andorra,232,Europe & Central Asia,1971,High income
AND,Andorra,232,Europe & Central Asia,1972,High income
AND,Andorra,232,Europe & Central Asia,1973,High income
AND,Andorra,232,Europe & Central Asia,1974,High income
AND,Andorra,232,Europe & Central Asia,1975,High income
AND,Andorra,232,Europe & Central Asia,1976,High income
AND,Andorra,232,Europe & Central Asia,1977,High income
AND,Andorra,232,Europe & Central Asia,1978,High income
AND,Andorra,232,Europe & Central Asia,1979,High income
AND,Andorra,232,Europe & Central Asia,1980,High income
AND,Andorra,232,Europe & Central Asia,1981,High income
AND,Andorra,232,Europe & Central Asia,1982,High income
AND,Andorra,232,Europe & Central Asia,1983,High income
AND,Andorra,232,Europe & Central Asia,1984,High income
AND,Andorra,232,Europe & Central Asia,1985,High income
AND,Andorra,232,Europe & Central Asia,1986,High income
AND,Andorra,232,Europe & Central Asia,1987,High income
AND,Andorra,232,Europe & Central Asia,1988,High income
AND,Andorra,232,Europe & Central Asia,1989,High income
AND,Andorra,232,Europe & Central Asia,1990,High income
AND,Andorra,232,Europe & Central Asia,1991,High income
AND,Andorra,232,Europe & Central Asia,1992,High income
AND,Andorra,232,Europe & Central Asia,1993,High income
AND,Andorra,232,Europe & Central Asia,1994,High income
AND,Andorra,232,Europe & Central Asia,1995,High income
AND,Andorra,232,Europe & Central Asia,1996,High income
AND,Andorra,232,Europe & Central Asia,1997,High income
AND,Andorra,232,Europe & Central Asia,1998,High income
AND,Andorra,232,Europe & Central Asia,1999,High income
AND,Andorra,232,Europe & Central Asia,2000,High income
AND,Andorra,232,Europe & Central Asia,2001,High income
AND,Andorra,232,Europe & Central Asia,2002,High income
AND,Andorra,232,Europe & Central Asia,2003,High income
AND,Andorra,232,Europe & Central Asia,2004,High income
AND,Andorra,232,Europe & Central Asia,2005,High income
AND,Andorra,232,Europe & Central Asia,2006,High income
AND,Andorra,232,Europe & Central Asia,2007,High income
AND,Andorra,232,Europe & Central Asia,2008,High income
AND,Andorra,232,Europe & Central Asia,2009,High income
AND,Andorra,232,Europe & Central Asia,2010,High income
AND,Andorra,232,Europe & Central Asia,2011,High income
AND,Andorra,232,Europe & Central Asia,2012,High income
AND,Andorra,232,Europe & Central Asia,2013,High income
AND,Andorra,232,Europe & Central Asia,2014,High income
AND,Andorra,232,Europe & Central Asia,2015,High income
AND,Andorra,232,Europe & Central Asia,2016,High income
AND,Andorra,232,Europe & Central Asia,2017,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1960,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1961,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1962,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1963,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1964,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1965,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1966,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1967,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1968,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1969,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1970,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1971,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1972,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1973,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1974,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1975,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1976,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1977,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1978,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1979,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1980,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1981,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1982,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1983,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1984,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1985,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1986,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1987,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1988,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1989,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1990,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1991,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1992,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1993,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1994,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1995,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1996,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1997,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1998,High income
ARE,United Arab Emirates,696,Middle East & North Africa,1999,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2000,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2001,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2002,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2003,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2004,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2005,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2006,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2007,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2008,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2009,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2010,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2011,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2012,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2013,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2014,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2015,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2016,High income
ARE,United Arab Emirates,696,Middle East & North Africa,2017,High income
ARG,Argentina,160,Latin America & Caribbean,1960,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1961,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1962,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1963,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1964,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1965,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1966,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1967,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1968,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1969,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1970,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1971,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1972,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1973,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1974,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1975,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1976,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1977,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1978,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1979,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1980,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1981,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1982,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1983,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1984,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1985,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1986,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1987,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1988,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1989,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1990,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1991,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1992,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1993,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1994,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1995,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1996,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1997,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1998,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,1999,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2000,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2001,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2002,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2003,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2004,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2005,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2006,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2007,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2008,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2009,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2010,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2011,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2012,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2013,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2014,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2015,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2016,Upper middle income
ARG,Argentina,160,Latin America & Caribbean,2017,Upper middle income
ARM,Armenia,371,Europe & Central Asia,1960,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1961,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1962,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1963,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1964,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1965,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1966,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1967,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1968,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1969,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1970,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1971,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1972,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1973,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1974,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1975,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1976,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1977,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1978,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1979,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1980,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1981,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1982,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1983,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1984,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1985,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1986,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1987,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1988,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1989,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1990,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1991,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1992,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1993,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1994,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1995,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1996,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1997,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1998,Lower middle income
ARM,Armenia,371,Europe & Central Asia,1999,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2000,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2001,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2002,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2003,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2004,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2005,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2006,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2007,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2008,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2009,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2010,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2011,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2012,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2013,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2014,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2015,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2016,Lower middle income
ARM,Armenia,371,Europe & Central Asia,2017,Lower middle income
ASM,American Samoa,NA,East Asia & Pacific,1960,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1961,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1962,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1963,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1964,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1965,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1966,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1967,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1968,Upper middle income
ASM,American Samoa,NA,East Asia & Pacific,1969,Upper middle income
